pwm_us,rpm,omega_rad_s,thrust_n,torque_nm,voltage_v,current_a
1000,0.000000000,0.000000000000,-0.015592573500,0.010519800000,15.823333333,-0.007000000
1050,843.000000000,88.278753565873,0.010166227167,0.000589066667,15.816666667,0.070333333
1100,2757.766666667,288.792650010494,0.079858819833,0.001507000000,15.813333333,0.126666667
1150,4832.800000000,506.089632542292,0.309857451167,0.003764200000,15.806666667,0.374666667
1200,6628.766666667,694.162822078697,0.581828544500,0.008016300000,15.790000000,0.753000000
1250,8239.666666667,862.855875600957,0.864161998000,0.013350133333,15.770000000,1.256333333
1300,9705.133333333,1016.319186070313,1.219849193500,0.018019433333,15.740000000,1.908000000
1350,11353.966666667,1188.984608970117,1.677721682000,0.024414233333,15.696666667,2.894000000
1400,12908.033333333,1351.726089743070,2.247978379500,0.031896166667,15.636666667,4.123333333
1450,14434.800000000,1511.608721201267,2.874427181500,0.039941433333,15.563333333,5.705333333
1500,15883.666666667,1663.333683735637,3.579754138333,0.048514566667,15.473333333,7.551666667
1550,17125.933333333,1793.423544862287,4.216205723333,0.056952466667,15.370000000,9.605666667
1600,18304.466666667,1916.839266929307,4.812515421000,0.065158366667,15.263333333,11.773000000
1650,19384.266666667,2029.915658507517,5.461061874333,0.072865666667,15.143333333,14.207333333
1700,20409.233333333,2137.249916846663,6.156745625333,0.080746900000,15.016666667,16.867666667
1750,21322.033333333,2232.838109319890,6.731578759500,0.088635966667,14.886666667,19.589666667
1800,22233.833333333,2328.321582037997,7.406439723667,0.097238833333,14.730000000,22.907666667
